"ID","id_10m","lon_10m_point","lat_10m_point","INT_50","Hyperlink","Section","Assessed"
42,43,145.764519911484,-16.8659059667486,"","=HYPERLINK(""Frames_for_Analysis/43_20250730_0002_R_0227.jpg"",""43_20250730_0002_R_0227.jpg"")","",""
43,44,145.764430629392,-16.8658964732002,"","=HYPERLINK(""Frames_for_Analysis/44_20250730_0002_R_0223.jpg"",""44_20250730_0002_R_0223.jpg"")","",""
44,45,145.764341444903,-16.8658862153322,"50","=HYPERLINK(""Frames_for_Analysis/45_20250730_0002_R_0220.jpg"",""45_20250730_0002_R_0220.jpg"")","",""
45,46,145.764252401385,-16.8658748535419,"","=HYPERLINK(""Frames_for_Analysis/46_20250730_0002_R_0216.jpg"",""46_20250730_0002_R_0216.jpg"")","",""
46,47,145.764166403551,-16.8658534494815,"","=HYPERLINK(""Frames_for_Analysis/47_20250730_0002_R_0213.jpg"",""47_20250730_0002_R_0213.jpg"")","",""
47,48,145.764084840182,-16.8658174240421,"","=HYPERLINK(""Frames_for_Analysis/48_20250730_0002_R_0209.jpg"",""48_20250730_0002_R_0209.jpg"")","",""
48,49,145.764010006394,-16.8657713167657,"","=HYPERLINK(""Frames_for_Analysis/49_20250730_0002_R_0206.jpg"",""49_20250730_0002_R_0206.jpg"")","",""
49,50,145.763941560187,-16.8657156400067,"50","=HYPERLINK(""Frames_for_Analysis/50_20250730_0002_R_0202.jpg"",""50_20250730_0002_R_0202.jpg"")","",""
50,51,145.763873113981,-16.8656599632314,"","=HYPERLINK(""Frames_for_Analysis/51_20250730_0002_R_0198.jpg"",""51_20250730_0002_R_0198.jpg"")","",""
51,52,145.763803894304,-16.8656057594759,"","=HYPERLINK(""Frames_for_Analysis/52_20250730_0002_R_0194.jpg"",""52_20250730_0002_R_0194.jpg"")","",""
52,53,145.763716363251,-16.865586428834,"","=HYPERLINK(""Frames_for_Analysis/53_20250730_0002_R_0190.jpg"",""53_20250730_0002_R_0190.jpg"")","",""
53,54,145.763628349727,-16.8655750402137,"","=HYPERLINK(""Frames_for_Analysis/54_20250730_0002_R_0187.jpg"",""54_20250730_0002_R_0187.jpg"")","",""
54,55,145.763539067631,-16.865584533749,"50","=HYPERLINK(""Frames_for_Analysis/55_20250730_0002_R_0183.jpg"",""55_20250730_0002_R_0183.jpg"")","",""
55,56,145.763449785535,-16.8655940272838,"","=HYPERLINK(""Frames_for_Analysis/56_20250730_0002_R_0180.jpg"",""56_20250730_0002_R_0180.jpg"")","",""
56,57,145.763362379425,-16.8656135104404,"","=HYPERLINK(""Frames_for_Analysis/57_20250730_0002_R_0176.jpg"",""57_20250730_0002_R_0176.jpg"")","",""
57,58,145.763275230044,-16.8656343606732,"","=HYPERLINK(""Frames_for_Analysis/58_20250730_0002_R_0172.jpg"",""58_20250730_0002_R_0172.jpg"")","",""
58,59,145.763188080662,-16.8656552109036,"","=HYPERLINK(""Frames_for_Analysis/59_20250730_0002_R_0168.jpg"",""59_20250730_0002_R_0168.jpg"")","",""
59,60,145.763100931281,-16.8656760611317,"50","=HYPERLINK(""Frames_for_Analysis/60_20250730_0002_R_0164.jpg"",""60_20250730_0002_R_0164.jpg"")","",""
60,61,145.763013298057,-16.8656948522174,"","=HYPERLINK(""Frames_for_Analysis/61_20250730_0002_R_0160.jpg"",""61_20250730_0002_R_0160.jpg"")","",""
61,62,145.762925210992,-16.8657117118406,"","=HYPERLINK(""Frames_for_Analysis/62_20250730_0002_R_0157.jpg"",""62_20250730_0002_R_0157.jpg"")","",""
62,63,145.762836446723,-16.865724102959,"","=HYPERLINK(""Frames_for_Analysis/63_20250730_0002_R_0152.jpg"",""63_20250730_0002_R_0152.jpg"")","",""
63,64,145.762747046924,-16.8657310314898,"","=HYPERLINK(""Frames_for_Analysis/64_20250730_0002_R_0148.jpg"",""64_20250730_0002_R_0148.jpg"")","",""
64,65,145.762659603383,-16.8657113414746,"50","=HYPERLINK(""Frames_for_Analysis/65_20250730_0002_R_0144.jpg"",""65_20250730_0002_R_0144.jpg"")","",""
65,66,145.762572159843,-16.8656916514573,"","=HYPERLINK(""Frames_for_Analysis/66_20250730_0002_R_0140.jpg"",""66_20250730_0002_R_0140.jpg"")","",""
66,67,145.762484252493,-16.8656983039895,"","=HYPERLINK(""Frames_for_Analysis/67_20250730_0002_R_0136.jpg"",""67_20250730_0002_R_0136.jpg"")","",""
67,68,145.762396165428,-16.8657151636133,"","=HYPERLINK(""Frames_for_Analysis/68_20250730_0002_R_0131.jpg"",""68_20250730_0002_R_0131.jpg"")","",""
68,69,145.762308078364,-16.8657320232356,"","=HYPERLINK(""Frames_for_Analysis/69_20250730_0002_R_0128.jpg"",""69_20250730_0002_R_0128.jpg"")","",""
69,70,145.762220184756,-16.8657497426084,"50","=HYPERLINK(""Frames_for_Analysis/70_20250730_0002_R_0124.jpg"",""70_20250730_0002_R_0124.jpg"")","",""
70,71,145.762132653707,-16.8657690732502,"","=HYPERLINK(""Frames_for_Analysis/71_20250730_0002_R_0123.jpg"",""71_20250730_0002_R_0123.jpg"")","",""
71,72,145.762049310175,-16.8657547235118,"","=HYPERLINK(""Frames_for_Analysis/72_20250730_0002_R_0121.jpg"",""72_20250730_0002_R_0121.jpg"")","",""
72,73,145.76203684298,-16.8656699161198,"","=HYPERLINK(""Frames_for_Analysis/73_20250730_0002_R_0119.jpg"",""73_20250730_0002_R_0119.jpg"")","",""
73,74,145.762024970407,-16.8655847025725,"","=HYPERLINK(""Frames_for_Analysis/74_20250730_0002_R_0117.jpg"",""74_20250730_0002_R_0117.jpg"")","",""
74,75,145.761940527978,-16.8655569007766,"50","=HYPERLINK(""Frames_for_Analysis/75_20250730_0002_R_0113.jpg"",""75_20250730_0002_R_0113.jpg"")","",""
75,76,145.761853858915,-16.8655376096253,"","=HYPERLINK(""Frames_for_Analysis/76_20250730_0002_R_0108.jpg"",""76_20250730_0002_R_0108.jpg"")","",""
76,77,145.761764056902,-16.865535406051,"","=HYPERLINK(""Frames_for_Analysis/77_20250730_0002_R_0103.jpg"",""77_20250730_0002_R_0103.jpg"")","",""
77,78,145.76167425489,-16.8655332024767,"","=HYPERLINK(""Frames_for_Analysis/78_20250730_0002_R_0098.jpg"",""78_20250730_0002_R_0098.jpg"")","",""
78,79,145.761584452877,-16.8655309989024,"","=HYPERLINK(""Frames_for_Analysis/79_20250730_0002_R_0091.jpg"",""79_20250730_0002_R_0091.jpg"")","",""
79,80,145.761494650865,-16.8655287953281,"50","=HYPERLINK(""Frames_for_Analysis/80_20250730_0002_R_0087.jpg"",""80_20250730_0002_R_0087.jpg"")","",""
80,81,145.761404901431,-16.8655257273905,"","=HYPERLINK(""Frames_for_Analysis/81_20250730_0002_R_0082.jpg"",""81_20250730_0002_R_0082.jpg"")","",""
81,82,145.761315438822,-16.865517944234,"","=HYPERLINK(""Frames_for_Analysis/82_20250730_0002_R_0077.jpg"",""82_20250730_0002_R_0077.jpg"")","",""
82,83,145.761225976214,-16.8655101610771,"","=HYPERLINK(""Frames_for_Analysis/83_20250730_0002_R_0071.jpg"",""83_20250730_0002_R_0071.jpg"")","",""
83,84,145.761136513605,-16.8655023779198,"","=HYPERLINK(""Frames_for_Analysis/84_20250730_0001_R_3143.jpg"",""84_20250730_0001_R_3143.jpg"")","",""
84,85,145.761047050997,-16.8654945947623,"50","=HYPERLINK(""Frames_for_Analysis/85_20250730_0002_R_0059.jpg"",""85_20250730_0002_R_0059.jpg"")","",""
85,86,145.760958174028,-16.8655032902861,"","=HYPERLINK(""Frames_for_Analysis/86_20250730_0002_R_0053.jpg"",""86_20250730_0002_R_0053.jpg"")","",""
86,87,145.760869470722,-16.8655168723425,"","=HYPERLINK(""Frames_for_Analysis/87_20250730_0002_R_0048.jpg"",""87_20250730_0002_R_0048.jpg"")","",""
87,88,145.760780767416,-16.865530454398,"","=HYPERLINK(""Frames_for_Analysis/88_20250730_0002_R_0043.jpg"",""88_20250730_0002_R_0043.jpg"")","",""
88,89,145.760691969023,-16.8655434354869,"","=HYPERLINK(""Frames_for_Analysis/89_20250730_0002_R_0038.jpg"",""89_20250730_0002_R_0038.jpg"")","",""
89,90,145.760603040349,-16.8655555931726,"50","=HYPERLINK(""Frames_for_Analysis/90_20250730_0002_R_0032.jpg"",""90_20250730_0002_R_0032.jpg"")","",""
90,91,145.760513739968,-16.8655576765825,"","=HYPERLINK(""Frames_for_Analysis/91_20250730_0002_R_0026.jpg"",""91_20250730_0002_R_0026.jpg"")","",""
91,92,145.760424136727,-16.8655515516616,"","=HYPERLINK(""Frames_for_Analysis/92_20250730_0002_R_0015.jpg"",""92_20250730_0002_R_0015.jpg"")","",""
92,93,145.760341829139,-16.8655213843359,"","=HYPERLINK(""Frames_for_Analysis/93_20250730_0002_R_0007.jpg"",""93_20250730_0002_R_0007.jpg"")","",""
93,94,145.760262735056,-16.8654806270801,"","=HYPERLINK(""Frames_for_Analysis/94_20250730_0002_R_0002.jpg"",""94_20250730_0002_R_0002.jpg"")","",""
94,95,145.760179100721,-16.8654499259353,"50","=HYPERLINK(""Frames_for_Analysis/95_20250730_0001_R_2977.jpg"",""95_20250730_0001_R_2977.jpg"")","",""
95,96,145.760093879044,-16.8654227405593,"","=HYPERLINK(""Frames_for_Analysis/96_20250730_0001_R_2973.jpg"",""96_20250730_0001_R_2973.jpg"")","",""
96,97,145.760008657367,-16.8653955551793,"","=HYPERLINK(""Frames_for_Analysis/97_20250730_0001_R_3075.jpg"",""97_20250730_0001_R_3075.jpg"")","",""
97,98,145.759927747346,-16.865360030333,"","=HYPERLINK(""Frames_for_Analysis/98_20250730_0001_R_2985.jpg"",""98_20250730_0001_R_2985.jpg"")","",""
98,99,145.759853463305,-16.8653116897299,"","=HYPERLINK(""Frames_for_Analysis/99_20250730_0001_R_3081.jpg"",""99_20250730_0001_R_3081.jpg"")","",""
99,100,145.759779179263,-16.8652633491145,"50","=HYPERLINK(""Frames_for_Analysis/100_20250730_0001_R_3096.jpg"",""100_20250730_0001_R_3096.jpg"")","",""
100,101,145.759704895221,-16.8652150084867,"","=HYPERLINK(""Frames_for_Analysis/101_20250730_0001_R_2961.jpg"",""101_20250730_0001_R_2961.jpg"")","",""
101,102,145.759636023725,-16.8651606901058,"","=HYPERLINK(""Frames_for_Analysis/102_20250730_0001_R_3067.jpg"",""102_20250730_0001_R_3067.jpg"")","",""
102,103,145.759575453087,-16.8650972040471,"","=HYPERLINK(""Frames_for_Analysis/103_20250730_0001_R_2958.jpg"",""103_20250730_0001_R_2958.jpg"")","",""
103,104,145.75951488245,-16.8650337179671,"","=HYPERLINK(""Frames_for_Analysis/104_20250730_0001_R_3031.jpg"",""104_20250730_0001_R_3031.jpg"")","",""
104,105,145.759454311812,-16.8649702318658,"50","=HYPERLINK(""Frames_for_Analysis/105_20250730_0001_R_2946.jpg"",""105_20250730_0001_R_2946.jpg"")","",""
105,106,145.759393384138,-16.8649070639672,"","=HYPERLINK(""Frames_for_Analysis/106_20250730_0001_R_3042.jpg"",""106_20250730_0001_R_3042.jpg"")","",""
106,107,145.759331512736,-16.8648447371882,"","=HYPERLINK(""Frames_for_Analysis/107_20250730_0001_R_2931.jpg"",""107_20250730_0001_R_2931.jpg"")","",""
107,108,145.759269641335,-16.8647824103886,"","=HYPERLINK(""Frames_for_Analysis/108_20250730_0001_R_2990.jpg"",""108_20250730_0001_R_2990.jpg"")","",""
108,109,145.759207769933,-16.8647200835684,"","=HYPERLINK(""Frames_for_Analysis/109_20250730_0001_R_2995.jpg"",""109_20250730_0001_R_2995.jpg"")","",""
109,110,145.759147797415,-16.8646561076576,"50","=HYPERLINK(""Frames_for_Analysis/110_20250730_0001_R_2994.jpg"",""110_20250730_0001_R_2994.jpg"")","",""
110,111,145.759088963987,-16.8645911424911,"","=HYPERLINK(""Frames_for_Analysis/111_20250730_0001_R_2917.jpg"",""111_20250730_0001_R_2917.jpg"")","",""
111,112,145.759030130559,-16.8645261773022,"","=HYPERLINK(""Frames_for_Analysis/112_20250730_0001_R_2899.jpg"",""112_20250730_0001_R_2899.jpg"")","",""
112,113,145.758976227346,-16.8644574060629,"","=HYPERLINK(""Frames_for_Analysis/113_20250730_0001_R_2894.jpg"",""113_20250730_0001_R_2894.jpg"")","",""
113,114,145.758922328426,-16.8643886314846,"","=HYPERLINK(""Frames_for_Analysis/114_20250730_0001_R_2889.jpg"",""114_20250730_0001_R_2889.jpg"")","",""
114,115,145.758868429506,-16.8643198568813,"50","=HYPERLINK(""Frames_for_Analysis/115_20250730_0001_R_2874.jpg"",""115_20250730_0001_R_2874.jpg"")","",""
115,116,145.75880922529,-16.8642553526276,"","=HYPERLINK(""Frames_for_Analysis/116_20250730_0001_R_2860.jpg"",""116_20250730_0001_R_2860.jpg"")","",""
116,117,145.758747657848,-16.8641927505758,"","=HYPERLINK(""Frames_for_Analysis/117_20250730_0001_R_2857.jpg"",""117_20250730_0001_R_2857.jpg"")","",""
117,118,145.758686090406,-16.8641301485032,"","=HYPERLINK(""Frames_for_Analysis/118_20250730_0001_R_2852.jpg"",""118_20250730_0001_R_2852.jpg"")","",""
118,119,145.758644533416,-16.8640561082601,"","=HYPERLINK(""Frames_for_Analysis/119_20250730_0001_R_2851.jpg"",""119_20250730_0001_R_2851.jpg"")","",""
119,120,145.758616126181,-16.8639745514681,"50","=HYPERLINK(""Frames_for_Analysis/120_20250730_0001_R_2850.jpg"",""120_20250730_0001_R_2850.jpg"")","",""
120,121,145.758587718947,-16.8638929946408,"","=HYPERLINK(""Frames_for_Analysis/121_20250730_0001_R_2849.jpg"",""121_20250730_0001_R_2849.jpg"")","",""
121,122,145.758559311713,-16.8638114377784,"","=HYPERLINK(""Frames_for_Analysis/122_20250730_0001_R_2848.jpg"",""122_20250730_0001_R_2848.jpg"")","",""
122,123,145.758530904478,-16.8637298808808,"","=HYPERLINK(""Frames_for_Analysis/123_20250730_0001_R_2845.jpg"",""123_20250730_0001_R_2845.jpg"")","",""
123,124,145.758502497244,-16.8636483239481,"","=HYPERLINK(""Frames_for_Analysis/124_20250730_0001_R_2838.jpg"",""124_20250730_0001_R_2838.jpg"")","",""
124,125,145.758467306082,-16.8635699016786,"50","=HYPERLINK(""Frames_for_Analysis/125_20250730_0001_R_2832.jpg"",""125_20250730_0001_R_2832.jpg"")","",""
125,126,145.758418234093,-16.8634978933929,"","=HYPERLINK(""Frames_for_Analysis/126_20250730_0001_R_2828.jpg"",""126_20250730_0001_R_2828.jpg"")","",""
126,127,145.758369162104,-16.8634258850797,"","=HYPERLINK(""Frames_for_Analysis/127_20250730_0001_R_2826.jpg"",""127_20250730_0001_R_2826.jpg"")","",""
127,128,145.758320090115,-16.8633538767391,"","=HYPERLINK(""Frames_for_Analysis/128_20250730_0001_R_2823.jpg"",""128_20250730_0001_R_2823.jpg"")","",""
128,129,145.758253959447,-16.8632976662475,"","=HYPERLINK(""Frames_for_Analysis/129_20250730_0001_R_2820.jpg"",""129_20250730_0001_R_2820.jpg"")","",""
129,130,145.758180366609,-16.8632483663834,"50","=HYPERLINK(""Frames_for_Analysis/130_20250730_0001_R_2815.jpg"",""130_20250730_0001_R_2815.jpg"")","",""
130,131,145.758106773771,-16.8631990665065,"","=HYPERLINK(""Frames_for_Analysis/131_20250730_0001_R_2810.jpg"",""131_20250730_0001_R_2810.jpg"")","",""
131,132,145.758033180934,-16.8631497666167,"","=HYPERLINK(""Frames_for_Analysis/132_20250730_0001_R_2802.jpg"",""132_20250730_0001_R_2802.jpg"")","",""
132,133,145.757959588096,-16.863100466714,"","=HYPERLINK(""Frames_for_Analysis/133_20250730_0001_R_2794.jpg"",""133_20250730_0001_R_2794.jpg"")","",""
133,134,145.75788367011,-16.8630545401958,"","=HYPERLINK(""Frames_for_Analysis/134_20250730_0001_R_2791.jpg"",""134_20250730_0001_R_2791.jpg"")","",""
134,135,145.757807345619,-16.8630092034377,"50","=HYPERLINK(""Frames_for_Analysis/135_20250730_0001_R_2787.jpg"",""135_20250730_0001_R_2787.jpg"")","",""
135,136,145.757731021128,-16.8629638666688,"","=HYPERLINK(""Frames_for_Analysis/136_20250730_0001_R_2783.jpg"",""136_20250730_0001_R_2783.jpg"")","",""
136,137,145.757654696638,-16.862918529889,"","=HYPERLINK(""Frames_for_Analysis/137_20250730_0001_R_2780.jpg"",""137_20250730_0001_R_2780.jpg"")","",""
137,138,145.757576807136,-16.8628759248627,"","=HYPERLINK(""Frames_for_Analysis/138_20250730_0001_R_2771.jpg"",""138_20250730_0001_R_2771.jpg"")","",""
138,139,145.757495821938,-16.8628387234388,"","=HYPERLINK(""Frames_for_Analysis/139_20250730_0001_R_2767.jpg"",""139_20250730_0001_R_2767.jpg"")","",""
139,140,145.757414836741,-16.8628015220076,"50","=HYPERLINK(""Frames_for_Analysis/140_20250730_0001_R_2763.jpg"",""140_20250730_0001_R_2763.jpg"")","",""
140,141,145.757333851544,-16.862764320569,"","=HYPERLINK(""Frames_for_Analysis/141_20250730_0001_R_2760.jpg"",""141_20250730_0001_R_2760.jpg"")","",""
141,142,145.757247446344,-16.8627446772522,"","=HYPERLINK(""Frames_for_Analysis/142_20250730_0001_R_2756.jpg"",""142_20250730_0001_R_2756.jpg"")","",""
142,143,145.757158337976,-16.8627337908633,"","=HYPERLINK(""Frames_for_Analysis/143_20250730_0001_R_2753.jpg"",""143_20250730_0001_R_2753.jpg"")","",""
143,144,145.757069229607,-16.8627229044737,"","=HYPERLINK(""Frames_for_Analysis/144_20250730_0001_R_2749.jpg"",""144_20250730_0001_R_2749.jpg"")","",""
144,145,145.756980121239,-16.8627120180835,"50","=HYPERLINK(""Frames_for_Analysis/145_20250730_0001_R_2746.jpg"",""145_20250730_0001_R_2746.jpg"")","",""
145,146,145.756891012871,-16.8627011316927,"","=HYPERLINK(""Frames_for_Analysis/146_20250730_0001_R_2742.jpg"",""146_20250730_0001_R_2742.jpg"")","",""
146,147,145.756801904502,-16.8626902453013,"","=HYPERLINK(""Frames_for_Analysis/147_20250730_0001_R_2738.jpg"",""147_20250730_0001_R_2738.jpg"")","",""
147,148,145.756713085768,-16.8626898398397,"","=HYPERLINK(""Frames_for_Analysis/148_20250730_0001_R_2735.jpg"",""148_20250730_0001_R_2735.jpg"")","",""
148,149,145.756624703213,-16.8627052183548,"","=HYPERLINK(""Frames_for_Analysis/149_20250730_0001_R_2731.jpg"",""149_20250730_0001_R_2731.jpg"")","",""
149,150,145.756536320658,-16.8627205968686,"50","=HYPERLINK(""Frames_for_Analysis/150_20250730_0001_R_2727.jpg"",""150_20250730_0001_R_2727.jpg"")","",""
150,151,145.756447938104,-16.8627359753812,"","=HYPERLINK(""Frames_for_Analysis/151_20250730_0001_R_2724.jpg"",""151_20250730_0001_R_2724.jpg"")","",""
151,152,145.756359555549,-16.8627513538926,"","=HYPERLINK(""Frames_for_Analysis/152_20250730_0001_R_2721.jpg"",""152_20250730_0001_R_2721.jpg"")","",""
152,153,145.756271172994,-16.8627667324027,"","=HYPERLINK(""Frames_for_Analysis/153_20250730_0001_R_2718.jpg"",""153_20250730_0001_R_2718.jpg"")","",""
153,154,145.75618382564,-16.8627863075501,"","=HYPERLINK(""Frames_for_Analysis/154_20250730_0001_R_2715.jpg"",""154_20250730_0001_R_2715.jpg"")","",""
154,155,145.756097587372,-16.8628103788575,"50","=HYPERLINK(""Frames_for_Analysis/155_20250730_0001_R_2712.jpg"",""155_20250730_0001_R_2712.jpg"")","",""
155,156,145.756011349104,-16.8628344501619,"","=HYPERLINK(""Frames_for_Analysis/156_20250730_0001_R_2709.jpg"",""156_20250730_0001_R_2709.jpg"")","",""
156,157,145.755925110836,-16.8628585214632,"","=HYPERLINK(""Frames_for_Analysis/157_20250730_0001_R_2706.jpg"",""157_20250730_0001_R_2706.jpg"")","",""
157,158,145.755838872568,-16.8628825927614,"","=HYPERLINK(""Frames_for_Analysis/158_20250730_0001_R_2703.jpg"",""158_20250730_0001_R_2703.jpg"")","",""
158,159,145.7557526343,-16.8629066640566,"","=HYPERLINK(""Frames_for_Analysis/159_20250730_0001_R_2700.jpg"",""159_20250730_0001_R_2700.jpg"")","",""
159,160,145.755666396032,-16.8629307353487,"50","=HYPERLINK(""Frames_for_Analysis/160_20250730_0001_R_2696.jpg"",""160_20250730_0001_R_2696.jpg"")","",""
160,161,145.755580157764,-16.8629548066377,"","=HYPERLINK(""Frames_for_Analysis/161_20250730_0001_R_2692.jpg"",""161_20250730_0001_R_2692.jpg"")","",""
